Iteration,Id,Type,CarriedFood,Row,Column,Food,Pheromone
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,5,6,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,6,7,0,0
0,v2.Soldier@457e2f02,Soldier,-,6,5,0,0
0,v2.Worker@5c7fa833,Worker,0,6,5,0,0
0,v2.Worker@39aeed2f,Worker,0,7,6,0,0
0,v2.Worker@724af044,Worker,0,5,6,0,0
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,5,7,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,5,7,0,0
0,v2.Soldier@457e2f02,Soldier,-,7,5,0,0
0,v2.Worker@5c7fa833,Worker,0,6,4,0,0
0,v2.Worker@39aeed2f,Worker,0,8,6,0,0
0,v2.Worker@724af044,Worker,0,4,6,0,0
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,4,7,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,5,6,0,0
0,v2.Soldier@457e2f02,Soldier,-,8,5,0,0
0,v2.Worker@5c7fa833,Worker,0,6,3,0,0
0,v2.Worker@39aeed2f,Worker,0,9,6,0,0
0,v2.Worker@724af044,Worker,0,3,6,0,0
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,5,7,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,5,7,0,0
0,v2.Soldier@457e2f02,Soldier,-,8,6,0,0
0,v2.Worker@5c7fa833,Worker,0,7,3,0,0
0,v2.Worker@39aeed2f,Worker,0,9,7,0,0
0,v2.Worker@724af044,Worker,0,3,7,0,0
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,6,7,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,5,8,0,0
0,v2.Soldier@457e2f02,Soldier,-,8,5,0,0
0,v2.Worker@5c7fa833,Worker,0,7,4,0,0
0,v2.Worker@39aeed2f,Worker,0,9,8,0,0
0,v2.Worker@724af044,Worker,0,4,7,0,0
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,7,7,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,4,8,0,0
0,v2.Soldier@457e2f02,Soldier,-,8,6,0,0
0,v2.Worker@5c7fa833,Worker,0,8,4,0,0
0,v2.Worker@39aeed2f,Worker,0,9,9,0,0
0,v2.Worker@724af044,Worker,0,5,7,0,0
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,8,7,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,4,7,0,0
0,v2.Soldier@457e2f02,Soldier,-,7,6,0,0
0,v2.Worker@5c7fa833,Worker,0,8,5,0,0
0,v2.Worker@39aeed2f,Worker,0,8,9,0,0
0,v2.Worker@724af044,Worker,0,6,7,0,0
0,v2.Queen@1b604f19,Queen,-,6,6,0,0
0,v2.Soldier@7823a2f9,Soldier,-,8,8,0,0
0,v2.Soldier@4cc0edeb,Soldier,-,5,7,0,0
0,v2.Soldier@457e2f02,Soldier,-,7,7,0,0
0,v2.Worker@5c7fa833,Worker,0,7,5,0,0
0,v2.Worker@39aeed2f,Worker,0,7,9,0,0
0,v2.Worker@724af044,Worker,0,7,7,0,0